feature_idx,label,max_activation,mean_activation,activation_freq,is_task_feature,top_prompt
0,,1.0442067384719849,1.0442067384719849,0.04,False,The quick brown fox jumps over the lazy dog
1,,0.12729190289974213,0.10780395567417145,0.16,False,Water boils at one hundred degrees Celsius
2,,0.05897623300552368,0.05897623300552368,0.04,False,Berlin has great nightlife
3,[dead],0.0,0.0,0.0,False,
4,,0.19093187153339386,0.1878604143857956,0.08,False,Shakespeare wrote thirty seven plays
5,,0.6719071865081787,0.2282136231660843,0.16,False,The quick brown fox jumps over the lazy dog
6,,0.010916367173194885,0.010916367173194885,0.04,False,Germany is known for its engineering
7,,0.08193245530128479,0.08193245530128479,0.04,False,The Amazon River is the largest river
8,[dead],0.0,0.0,0.0,False,
9,[dead],0.0,0.0,0.0,False,
10,,0.235863596200943,0.14981624484062195,0.08,False,Shakespeare wrote thirty seven plays
11,,0.15995241701602936,0.05552937462925911,0.4,True,Japan has a rich cultural history
12,,0.1096201092004776,0.0656869187951088,0.2,False,Germany is known for its engineering
13,,0.2705991268157959,0.13536815345287323,0.16,False,The quick brown fox jumps over the lazy dog
14,,0.002330206334590912,0.002330206334590912,0.04,False,Shakespeare wrote thirty seven plays
15,,0.11653348803520203,0.05143275856971741,0.48,False,Photosynthesis converts sunlight into energy
16,[dead],0.0,0.0,0.0,False,
17,,1.1360312700271606,0.9373760223388672,0.96,False,Shakespeare wrote thirty seven plays
18,[dead],0.0,0.0,0.0,False,
19,,0.0819878876209259,0.0819878876209259,0.04,False,Shakespeare wrote thirty seven plays
20,[dead],0.0,0.0,0.0,False,
21,,0.5882753133773804,0.42754700779914856,0.96,False,Shakespeare wrote thirty seven plays
22,,0.7255090475082397,0.3646653890609741,0.08,False,The quick brown fox jumps over the lazy dog
23,,2.459780693054199,2.459780693054199,0.04,False,The quick brown fox jumps over the lazy dog
24,,0.06025148183107376,0.0271998792886734,0.32,False,The capital of China is
25,,0.17533144354820251,0.0561906173825264,0.36,False,The capital of India is
26,[dead],0.0,0.0,0.0,False,
27,[dead],0.0,0.0,0.0,False,
28,declarative fact structure,0.0,0.0,0.0,True,
29,,3.315615653991699,3.315615653991699,0.04,False,The quick brown fox jumps over the lazy dog
30,,0.18338897824287415,0.0648660883307457,0.48,False,Water boils at one hundred degrees Celsius
