feature_idx,label,max_activation,mean_activation,activation_freq,is_task_feature,top_prompt
0,,2.5568597316741943,1.1133536100387573,0.4,False,France: Paris. Germany: Berlin. Japan: Tokyo. Egypt: Cairo. Russia:
1,,3.1199560165405273,1.254548192024231,0.36,False,France: Paris. Germany: Berlin. Japan: Tokyo. Egypt: Cairo. Japan:
2,,1.7276040315628052,0.9834365844726562,0.48,False,France: Paris. Germany: Berlin. Japan: Tokyo. Egypt: Cairo. Nigeria:
3,,15.723237037658691,8.356417655944824,0.76,False,The quick brown fox jumps over the lazy dog
4,,2.4652233123779297,1.623567819595337,0.72,False,France: Paris. Germany: Berlin. Japan: Tokyo. Egypt: Cairo. Germany:
5,,21.795848846435547,13.119215965270996,0.68,False,Japan has a rich cultural history
6,,20.59136390686035,11.28459644317627,0.72,False,The quick brown fox jumps over the lazy dog
7,,7.252019882202148,5.483447074890137,0.64,False,Japan has a rich cultural history
8,,3.587522506713867,2.2549850940704346,0.76,False,Photosynthesis converts sunlight into energy
9,,2.167135715484619,1.420539379119873,0.72,False,Photosynthesis converts sunlight into energy
10,,3.486497640609741,1.68982994556427,0.24,False,France: Paris. Germany: Berlin. Japan: Tokyo. Egypt: Cairo. France:
11,,3.897566080093384,1.7594469785690308,0.28,False,France: Paris. Germany: Berlin. Japan: Tokyo. Egypt: Cairo. Egypt:
12,,2.539062738418579,1.1454391479492188,0.28,False,France: Paris. Germany: Berlin. Japan: Tokyo. Egypt: Cairo. Nigeria:
13,,1.5978446006774902,0.921587347984314,0.64,False,The Amazon River is the largest river
14,,2.5654585361480713,1.3044238090515137,0.68,False,France: Paris. Germany: Berlin. Japan: Tokyo. Egypt: Cairo. Australia:
15,,2.1039698123931885,1.0464764833450317,0.32,False,France: Paris. Germany: Berlin. Japan: Tokyo. Egypt: Cairo. Italy:
16,,2.4848411083221436,1.4596364498138428,0.28,False,France: Paris. Germany: Berlin. Japan: Tokyo. Egypt: Cairo. China:
17,,15.120450973510742,8.640822410583496,0.72,False,The quick brown fox jumps over the lazy dog
18,,3.7387497425079346,2.2427990436553955,0.72,False,The quick brown fox jumps over the lazy dog
19,,5.960792064666748,2.1707615852355957,0.76,False,France: Paris. Germany: Berlin. Japan: Tokyo. Egypt: Cairo. Japan:
20,,2.308990716934204,0.7363898158073425,0.52,False,France: Paris. Germany: Berlin. Japan: Tokyo. Egypt: Cairo. Japan:
21,,3.212679386138916,1.1518092155456543,0.36,False,France: Paris. Germany: Berlin. Japan: Tokyo. Egypt: Cairo. Germany:
22,,1.3737531900405884,0.7372647523880005,0.68,False,France: Paris. Germany: Berlin. Japan: Tokyo. Egypt: Cairo. France:
23,,1.9390100240707397,1.009992003440857,0.6,False,France: Paris. Germany: Berlin. Japan: Tokyo. Egypt: Cairo. Germany:
24,,2.167635440826416,1.108781337738037,0.76,False,France: Paris. Germany: Berlin. Japan: Tokyo. Egypt: Cairo. Nigeria:
25,,3.3886258602142334,1.800731897354126,0.32,False,France: Paris. Germany: Berlin. Japan: Tokyo. Egypt: Cairo. Nigeria:
26,,2.838610887527466,2.097040891647339,0.68,False,France: Paris. Germany: Berlin. Japan: Tokyo. Egypt: Cairo. Japan:
27,,1.6525969505310059,0.499051034450531,0.72,False,France: Paris. Germany: Berlin. Japan: Tokyo. Egypt: Cairo. Russia:
28,,5.133002758026123,2.3934080600738525,0.2,False,France: Paris. Germany: Berlin. Japan: Tokyo. Egypt: Cairo. Germany:
29,,2.602212905883789,1.544898271560669,0.2,False,France: Paris. Germany: Berlin. Japan: Tokyo. Egypt: Cairo. Japan:
30,,3.94356632232666,1.3620326519012451,0.36,False,France: Paris. Germany: Berlin. Japan: Tokyo. Egypt: Cairo. Russia:
31,,3.336124897003174,1.1737022399902344,0.32,False,France: Paris. Germany: Berlin. Japan: Tokyo. Egypt: Cairo. India:
32,,21.83914566040039,11.619619369506836,0.76,False,The quick brown fox jumps over the lazy dog
